CGPA,Internships,AptitudeScore,CommunicationScore,Projects,Certifications,PlacementTraining,Placed
6.87,0,54,82,4,4,0,1
7.23,2,50,50,4,3,1,1
8.54,1,92,41,3,1,1,1
9.96,0,51,97,5,4,1,1
5.12,2,98,81,3,3,1,1
6.16,1,86,90,3,3,1,1
7.33,0,90,46,4,0,0,1
5.07,0,99,53,1,1,0,0
5.08,1,59,67,3,3,0,1
9.17,2,53,56,3,1,1,1
8.78,1,45,93,1,3,1,1
5.16,1,65,83,1,1,1,1
9.63,2,87,54,5,3,0,1
9.81,0,55,84,1,4,1,1
6.78,3,99,99,4,0,0,1
9.01,0,64,46,0,0,1,1
6.47,2,50,90,0,2,0,1
8.86,0,81,78,1,0,1,1
9.32,3,51,73,0,4,0,1
7.96,1,66,74,0,2,0,1
9.86,2,40,44,1,2,0,1
8.55,1,81,99,4,2,0,1
9.48,0,91,71,3,4,0,1
8.02,2,82,68,3,4,1,1
7.99,2,61,67,1,1,0,1
6.48,0,45,67,3,3,1,1
7.08,1,50,97,3,0,0,1
9.53,0,96,66,5,0,1,1
6.76,2,78,45,2,0,1,1
6.11,2,81,83,2,0,1,1
6.82,0,97,91,3,1,0,1
6.5,0,95,56,2,0,1,1
7.51,1,62,76,0,0,0,1
8.4,0,83,65,5,3,0,1
8.81,2,56,77,4,3,1,1
8.17,2,87,55,0,0,1,1
7.54,3,68,42,3,3,0,1
6.1,1,42,58,3,3,0,1
8.45,3,78,57,0,2,1,1
8.68,1,62,70,5,1,0,1
6.14,3,65,87,0,3,1,1
6.3,0,87,51,4,4,1,1
8.17,0,80,74,2,2,1,1
9.44,3,72,63,3,2,0,1
5.81,1,79,59,5,2,1,1
5.51,2,64,68,1,1,1,1
8.46,3,80,75,0,3,0,1
7.47,3,59,95,2,0,1,1
7.84,3,98,90,5,4,0,1
9.46,2,66,73,4,0,1,1
8.34,0,44,99,4,2,1,1
5.12,0,56,83,3,4,1,1
9.57,2,99,80,4,4,0,1
7.76,2,74,99,0,3,0,1
6.53,3,62,72,2,1,0,1
6.97,1,97,42,5,1,1,1
8.36,2,41,66,1,1,1,1
8.7,0,48,82,5,4,1,1
9.05,2,89,64,4,3,1,1
5.03,3,84,59,0,3,0,1
6.69,3,73,41,5,2,0,1
5.78,1,61,97,1,0,1,1
5.19,2,93,82,3,4,0,1
9.14,3,83,83,4,3,1,1
5.26,3,69,86,2,3,1,1
9.88,3,81,69,2,0,1,1
6.35,3,97,94,1,4,1,1
9.81,2,48,51,4,0,1,1
9.58,2,73,71,5,0,1,1
9.67,0,55,78,4,4,0,1
5.24,1,55,90,4,0,0,1
5.58,0,86,88,5,3,0,1
7.37,1,65,87,4,3,0,1
7.32,0,62,97,1,4,1,1
5.23,2,49,97,2,1,1,1
9.28,0,84,43,1,0,1,1
7.93,2,59,63,3,1,0,1
8.22,0,90,82,4,3,0,1
9.1,3,49,82,3,4,0,1
6.07,1,41,90,1,2,0,1
5.36,3,68,65,1,1,1,1
9.07,0,46,43,1,4,1,1
8.14,0,95,75,0,4,0,1
6.41,1,76,48,2,0,0,1
7.06,1,88,78,5,4,1,1
7.14,0,62,64,2,0,1,1
9.51,1,59,87,0,4,0,1
5.5,3,51,80,2,3,0,1
6.6,1,70,91,2,1,0,1
5.42,0,74,51,0,3,0,0
6.06,0,62,55,0,4,0,0
7.47,2,53,70,1,4,0,1
9.44,2,50,57,3,0,1,1
9.18,0,77,46,5,4,1,1
5.36,1,66,97,1,4,0,1
5.42,2,47,87,4,0,1,1
9.06,2,46,64,4,3,1,1
6.88,2,58,83,5,2,1,1
9.53,2,42,84,4,1,1,1
7.86,3,67,47,4,0,0,1
8.73,0,67,96,3,0,0,1
9.34,1,92,45,1,3,0,1
9.85,0,86,60,5,4,0,1
9.6,3,74,58,3,0,1,1
5.83,0,53,54,0,4,1,1
7.92,3,62,96,2,3,1,1
9.75,3,77,51,3,4,1,1
5.85,3,65,47,1,3,1,1
6.33,0,80,75,2,0,0,1
6.55,3,52,67,4,4,1,1
5.38,1,57,90,4,0,1,1
5.41,1,89,98,4,4,0,1
7.06,1,40,57,0,2,0,1
8.75,0,61,98,2,0,0,1
5.32,0,74,40,4,3,0,1
7.67,0,77,42,4,4,0,1
9.72,1,58,56,4,0,1,1
6.26,0,52,43,5,0,0,1
8.78,1,67,70,1,1,1,1
7.38,2,98,89,3,0,1,1
9.84,1,69,98,0,0,1,1
7.4,2,54,76,4,1,0,1
6.06,1,99,73,5,1,1,1
8.18,2,66,90,1,3,0,1
7.57,3,54,99,5,1,0,1
8.49,0,43,49,0,1,0,1
6.29,3,44,73,5,4,1,1
6.64,2,82,87,2,2,0,1
5.64,2,55,70,2,3,1,1
8.48,0,42,71,2,2,0,1
9.87,0,97,90,2,4,0,1
6.73,1,61,60,5,0,0,1
7.3,1,85,73,0,1,0,1
6.61,1,96,86,0,2,0,1
6.89,0,65,75,0,0,0,1
5.92,2,86,95,5,1,1,1
6.84,3,41,84,1,2,1,1
5.67,2,86,62,5,2,0,1
5.15,1,97,77,2,2,0,1
5.52,2,76,67,1,0,0,1
6.06,1,83,64,0,4,1,1
7.37,1,42,80,4,1,0,1
7.92,1,73,86,0,3,0,1
6.89,0,45,91,1,1,0,1
6.78,0,45,76,0,0,0,0
5.51,1,45,94,3,2,1,1
6.43,2,63,94,0,2,0,1
5.09,0,75,63,5,1,1,1
9.85,3,54,45,5,0,1,1
5.85,2,96,41,2,1,0,1
9.19,0,45,65,5,3,0,1
6.0,3,88,51,0,1,1,1
6.44,0,50,75,4,2,0,1
5.26,1,95,49,4,1,1,1
6.01,3,41,59,0,4,0,1
8.8,2,54,63,5,2,1,1
5.53,0,99,83,1,4,1,1
9.95,1,51,74,2,0,1,1
8.61,3,68,47,2,0,0,1
6.01,1,74,60,4,4,0,1
8.33,1,43,64,4,1,0,1
8.41,3,78,79,5,2,0,1
6.51,2,54,72,0,0,0,1
6.96,1,53,92,2,2,1,1
9.7,2,90,47,1,3,0,1
9.39,0,91,69,2,3,0,1
5.76,0,76,66,0,3,1,1
